kebun,divisi,sph_panen,luas_tm,budget_alokasi,pkk,bulan,tahun
PT. PAL,DIVISI 1,137,682.27,1084317,93383,January,2025
PT. PAL,DIVISI 1,137,682.27,1084317,93383,February,2025
PT. PAL,DIVISI 1,137,682.27,1084317,93383,March,2025
PT. PAL,DIVISI 1,137,682.27,1084317,93383,April,2025
PT. PAL,DIVISI 1,137,682.27,1265036,93383,May,2025
PT. PAL,DIVISI 1,137,682.27,1445756,93383,June,2025
PT. PAL,DIVISI 1,137,682.27,1445756,93383,July,2025
PT. PAL,DIVISI 1,137,682.27,1626475,93383,August,2025
PT. PAL,DIVISI 1,137,682.27,1807195,93383,September,2025
PT. PAL,DIVISI 1,137,682.27,2168633,93383,October,2025
PT. PAL,DIVISI 1,137,682.27,2168633,93383,November,2025
PT. PAL,DIVISI 1,137,682.27,1807195,93383,December,2025
PT. PAL,DIVISI 2,144,543.35,912798,78104,January,2025
PT. PAL,DIVISI 2,144,543.35,912798,78104,February,2025
PT. PAL,DIVISI 2,144,543.35,912798,78104,March,2025
PT. PAL,DIVISI 2,144,543.35,912798,78104,April,2025
PT. PAL,DIVISI 2,144,543.35,1064930,78104,May,2025
PT. PAL,DIVISI 2,144,543.35,1217063,78104,June,2025
PT. PAL,DIVISI 2,144,543.35,1217063,78104,July,2025
PT. PAL,DIVISI 2,144,543.35,1369196,78104,August,2025
PT. PAL,DIVISI 2,144,543.35,1521329,78104,September,2025
PT. PAL,DIVISI 2,144,543.35,1825595,78104,October,2025
PT. PAL,DIVISI 2,144,543.35,1825595,78104,November,2025
PT. PAL,DIVISI 2,144,543.35,1521329,78104,December,2025
PT. PAL,DIVISI 3,141,549.73,855055,77548,January,2025
PT. PAL,DIVISI 3,141,549.73,855055,77548,February,2025
PT. PAL,DIVISI 3,141,549.73,855055,77548,March,2025
PT. PAL,DIVISI 3,141,549.73,855055,77548,April,2025
PT. PAL,DIVISI 3,141,549.73,997564,77548,May,2025
PT. PAL,DIVISI 3,141,549.73,1140073,77548,June,2025
PT. PAL,DIVISI 3,141,549.73,1140073,77548,July,2025
PT. PAL,DIVISI 3,141,549.73,1282582,77548,August,2025
PT. PAL,DIVISI 3,141,549.73,1425091,77548,September,2025
PT. PAL,DIVISI 3,141,549.73,1710110,77548,October,2025
PT. PAL,DIVISI 3,141,549.73,1710110,77548,November,2025
PT. PAL,DIVISI 3,141,549.73,1425091,77548,December,2025
PT. LSP RS,DIVISI 1,137,168.51,173287,23003,January,2025
PT. LSP RS,DIVISI 1,137,168.51,147058,23003,February,2025
PT. LSP RS,DIVISI 1,137,168.51,120830,23003,March,2025
PT. LSP RS,DIVISI 1,137,168.51,173287,23003,April,2025
PT. LSP RS,DIVISI 1,137,168.51,199515,23003,May,2025
PT. LSP RS,DIVISI 1,137,168.51,251972,23003,June,2025
PT. LSP RS,DIVISI 1,137,168.51,255155,23003,July,2025
PT. LSP RS,DIVISI 1,137,168.51,310796,23003,August,2025
PT. LSP RS,DIVISI 1,137,168.51,276544,23003,September,2025
PT. LSP RS,DIVISI 1,137,168.51,276544,23003,October,2025
PT. LSP RS,DIVISI 1,137,168.51,230453,23003,November,2025
PT. LSP RS,DIVISI 1,137,168.51,207408,23003,December,2025
PT. LSP RS,DIVISI 2,134,500.25,456040,66862,January,2025
PT. LSP RS,DIVISI 2,134,500.25,380033,66862,February,2025
PT. LSP RS,DIVISI 2,134,500.25,304027,66862,March,2025
PT. LSP RS,DIVISI 2,134,500.25,456040,66862,April,2025
PT. LSP RS,DIVISI 2,134,500.25,532047,66862,May,2025
PT. LSP RS,DIVISI 2,134,500.25,684060,66862,June,2025
PT. LSP RS,DIVISI 2,134,500.25,684060,66862,July,2025
PT. LSP RS,DIVISI 2,134,500.25,836074,66862,August,2025
PT. LSP RS,DIVISI 2,134,500.25,912080,66862,September,2025
PT. LSP RS,DIVISI 2,134,500.25,912080,66862,October,2025
PT. LSP RS,DIVISI 2,134,500.25,760067,66862,November,2025
PT. LSP RS,DIVISI 2,134,500.25,684060,66862,December,2025
PT. LSP PR,DIVISI 1,146,196.16,303581,28726,January,2025
PT. LSP PR,DIVISI 1,146,196.16,252985,28726,February,2025
PT. LSP PR,DIVISI 1,146,196.16,202388,28726,March,2025
PT. LSP PR,DIVISI 1,146,196.16,303581,28726,April,2025
PT. LSP PR,DIVISI 1,146,196.16,354178,28726,May,2025
PT. LSP PR,DIVISI 1,146,196.16,455372,28726,June,2025
PT. LSP PR,DIVISI 1,146,196.16,455372,28726,July,2025
PT. LSP PR,DIVISI 1,146,196.16,556566,28726,August,2025
PT. LSP PR,DIVISI 1,146,196.16,607163,28726,September,2025
PT. LSP PR,DIVISI 1,146,196.16,607163,28726,October,2025
PT. LSP PR,DIVISI 1,146,196.16,505969,28726,November,2025
PT. LSP PR,DIVISI 1,146,196.16,455372,28726,December,2025
CANDIMAS,DIVISI 1,121,40.51,42536,4912,January,2025
CANDIMAS,DIVISI 1,121,40.51,42536,4912,February,2025
CANDIMAS,DIVISI 1,121,40.51,51043,4912,March,2025
CANDIMAS,DIVISI 1,121,40.51,59550,4912,April,2025
CANDIMAS,DIVISI 1,121,40.51,76564,4912,May,2025
CANDIMAS,DIVISI 1,121,40.51,85071,4912,June,2025
CANDIMAS,DIVISI 1,121,40.51,93578,4912,July,2025
CANDIMAS,DIVISI 1,121,40.51,102085,4912,August,2025
CANDIMAS,DIVISI 1,121,40.51,93578,4912,September,2025
CANDIMAS,DIVISI 1,121,40.51,76564,4912,October,2025
CANDIMAS,DIVISI 1,121,40.51,68057,4912,November,2025
CANDIMAS,DIVISI 1,121,40.51,59550,4912,December,2025
PT. HSBS,INTI,135,424.4,599516,57265,January,2025
PT. HSBS,INTI,135,424.4,499597,57265,February,2025
PT. HSBS,INTI,135,424.4,499597,57265,March,2025
PT. HSBS,INTI,135,424.4,599516,57265,April,2025
PT. HSBS,INTI,135,424.4,799355,57265,May,2025
PT. HSBS,INTI,135,424.4,899274,57265,June,2025
PT. HSBS,INTI,135,424.4,999194,57265,July,2025
PT. HSBS,INTI,135,424.4,1099113,57265,August,2025
PT. HSBS,INTI,135,424.4,1099113,57265,September,2025
PT. HSBS,INTI,135,424.4,1099113,57265,October,2025
PT. HSBS,INTI,135,424.4,999194,57265,November,2025
PT. HSBS,INTI,135,424.4,799355,57265,December,2025
PT. HSBS,PLASMA,136,432.05,623610,58684,January,2025
PT. HSBS,PLASMA,136,432.05,519675,58684,February,2025
PT. HSBS,PLASMA,136,432.05,519675,58684,March,2025
PT. HSBS,PLASMA,136,432.05,623610,58684,April,2025
PT. HSBS,PLASMA,136,432.05,831480,58684,May,2025
PT. HSBS,PLASMA,136,432.05,935415,58684,June,2025
PT. HSBS,PLASMA,136,432.05,1039350,58684,July,2025
PT. HSBS,PLASMA,136,432.05,1143285,58684,August,2025
PT. HSBS,PLASMA,136,432.05,1143285,58684,September,2025
PT. HSBS,PLASMA,136,432.05,1143285,58684,October,2025
PT. HSBS,PLASMA,136,432.05,1039350,58684,November,2025
PT. HSBS,PLASMA,136,432.05,831480,58684,December,2025
